Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Dhanbad,Munsi Hembram, Male,51, ST,IND, Independent,Unknown,1861,NULL,Jharkhand,01-01-2004,Loser,-353638
L,Loksabha,Dhanbad,Rita Verma, Female,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,366065,0.480699986,Jharkhand,01-01-1999,Winner,14226
L,Loksabha,Dhanbad,A K Roy, Male,Unknown,Unknown,MCO, Marxist Co-ordination,Unknown,351839,0.462099999,Jharkhand,01-01-1999,Loser,-14226
L,Loksabha,Dhanbad,Kansari Mandal, Male,Unknown,Unknown,JMM, Jharkhand Mukti Morcha,Unknown,18617,0.0244,Jharkhand,01-01-1999,Loser,-347448
L,Loksabha,Dhanbad,Upendra Narayan Singh, Male,Unknown,Unknown,CPI(ML)(L), Communist Party Of India (marxist-lenninist) (liberation),Unknown,7823,0.0103,Jharkhand,01-01-1999,Loser,-358242
L,Loksabha,Dhanbad,S K Verma, Male,Unknown,Unknown,JD(S), Janata Dal (secular),Unknown,6227,0.0082,Jharkhand,01-01-1999,Loser,-359838
L,Loksabha,Dhanbad,Dhan Prasad, Male,Unknown,Unknown,BSP, Bahujan Samaj Party,Unknown,4560,0.006,Jharkhand,01-01-1999,Loser,-361505
L,Loksabha,Dhanbad,Saroj Kumar Choudhary, Male,Unknown,Unknown,AJBP, Ajeya Bharat Party,Unknown,1864,0.0024,Jharkhand,01-01-1999,Loser,-364201
L,Loksabha,Dhanbad,Motilal Rajwar, Male,Unknown,Unknown,IND, Independent,Unknown,1680,0.0022,Jharkhand,01-01-1999,Loser,-364385
L,Loksabha,Dhanbad,Sharat Das, Male,Unknown,Unknown,ABJS, Akhil Bharatiya Jan Sangh,Unknown,1613,0.0021,Jharkhand,01-01-1999,Loser,-364452
L,Loksabha,Dhanbad,Munshi Hembram, Male,Unknown,Unknown,IND, Independent,Unknown,1173,0.0015,Jharkhand,01-01-1999,Loser,-364892
L,Loksabha,Dhanbad,Rita Verma, Female,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,442590,0.505999982,Jharkhand,01-01-1998,Winner,178689
L,Loksabha,Dhanbad,A K Roy, Male,Unknown,Unknown,MCO, Marxist Co-ordination,Unknown,263901,0.301699996,Jharkhand,01-01-1998,Loser,-178689
L,Loksabha,Dhanbad,Aklu Ram Mahato, Male,Unknown,Unknown,RJD, Rashtriya Janata Dal,Unknown,147222,0.168300003,Jharkhand,01-01-1998,Loser,-295368
L,Loksabha,Dhanbad,Marigendra Kumar Yadav, Male,Unknown,Unknown,IND, Independent,Unknown,5779,0.0066,Jharkhand,01-01-1998,Loser,-436811
L,Loksabha,Dhanbad,Surendra Prasad Roy, Male,Unknown,Unknown,SP, Samajwadi Party,Unknown,5147,0.0059,Jharkhand,01-01-1998,Loser,-437443
L,Loksabha,Dhanbad,Saroj Kumar Chaudhary, Male,Unknown,Unknown,IND, Independent,Unknown,3135,0.0036,Jharkhand,01-01-1998,Loser,-439455
L,Loksabha,Dhanbad,Kuldip Chaudhary, Male,Unknown,Unknown,IND, Independent,Unknown,2637,0.003,Jharkhand,01-01-1998,Loser,-439953
L,Loksabha,Dhanbad,Madhav Dhivar, Male,Unknown,Unknown,AMB, Amra Bangalee,Unknown,2573,0.0029,Jharkhand,01-01-1998,Loser,-440017
L,Loksabha,Dhanbad,Ram Nagina, Male,Unknown,Unknown,IND, Independent,Unknown,1647,0.0019,Jharkhand,01-01-1998,Loser,-440943
L,Loksabha,Dhanbad,Rita Verma, Female,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,269942,0.334399998,Jharkhand,01-01-1996,Winner,22196
L,Loksabha,Dhanbad,Shamresh Singh, Male,Unknown,Unknown,JD, Janata Dal,Unknown,247746,0.306899995,Jharkhand,01-01-1996,Loser,-22196
L,Loksabha,Dhanbad,A K Roy, Male,Unknown,Unknown,MCO, Marxist Coordination,Unknown,114406,0.1417,Jharkhand,01-01-1996,Loser,-155536
L,Loksabha,Dhanbad,Munir Ahmad Khan, Male,Unknown,Unknown,JMM, Jharkhand Mukti Morcha,Unknown,50969,0.063100003,Jharkhand,01-01-1996,Loser,-218973
L,Loksabha,Dhanbad,Bijay Kumar Singh, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,48208,0.059700001,Jharkhand,01-01-1996,Loser,-221734
L,Loksabha,Dhanbad,Shiva Mahto, Male,Unknown,Unknown,JMM(M), Jharkhand Mukti Morcha (mardi),Unknown,32385,0.040100001,Jharkhand,01-01-1996,Loser,-237557
L,Loksabha,Dhanbad,Binod Kr Poddar, Male,Unknown,Unknown,IND, Independent,Unknown,5775,0.0072,Jharkhand,01-01-1996,Loser,-264167
L,Loksabha,Dhanbad,Jarnadan Mahato, Male,Unknown,Unknown,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,5551,0.0069,Jharkhand,01-01-1996,Loser,-264391
L,Loksabha,Dhanbad,Goutam Kumar, Male,Unknown,Unknown,IND, Independent,Unknown,3889,0.0048,Jharkhand,01-01-1996,Loser,-266053
L,Loksabha,Dhanbad,Deolal Bauri, Male,Unknown,Unknown,IND, Independent,Unknown,2558,0.0032,Jharkhand,01-01-1996,Loser,-267384
L,Loksabha,Dhanbad,A P Sharma, Male,Unknown,Unknown,IND, Independent,Unknown,2079,0.0026,Jharkhand,01-01-1996,Loser,-267863
L,Loksabha,Dhanbad,Rajesh Kumar Lal, Male,Unknown,Unknown,ABJS, Akhil Bharatiya Jan Sangh,Unknown,1642,0.002,Jharkhand,01-01-1996,Loser,-268300
L,Loksabha,Dhanbad,Dashrath Paswan, Male,Unknown,Unknown,IND, Independent,Unknown,1369,0.0017,Jharkhand,01-01-1996,Loser,-268573
L,Loksabha,Dhanbad,Anand Kumar Sinha, Male,Unknown,Unknown,IND, Independent,Unknown,1353,0.0017,Jharkhand,01-01-1996,Loser,-268589
L,Loksabha,Dhanbad,Randhir Singh, Male,Unknown,Unknown,IND, Independent,Unknown,1047,0.0013,Jharkhand,01-01-1996,Loser,-268895
L,Loksabha,Dhanbad,Rizwan, Male,Unknown,Unknown,IND, Independent,Unknown,940,0.0012,Jharkhand,01-01-1996,Loser,-269002
L,Loksabha,Dhanbad,Jitendra Singh, Male,Unknown,Unknown,IND, Independent,Unknown,940,0.0012,Jharkhand,01-01-1996,Loser,-269002
L,Loksabha,Dhanbad,Ditho Sinha, Male,Unknown,Unknown,IND, Independent,Unknown,922,0.0011,Jharkhand,01-01-1996,Loser,-269020
L,Loksabha,Dhanbad,Ram Autar Agarwal, Male,Unknown,Unknown,IND, Independent,Unknown,904,0.0011,Jharkhand,01-01-1996,Loser,-269038
L,Loksabha,Dhanbad,Budhan Ram, Male,Unknown,Unknown,IND, Independent,Unknown,886,0.0011,Jharkhand,01-01-1996,Loser,-269056
L,Loksabha,Dhanbad,Dilip Kumar, Male,Unknown,Unknown,IND, Independent,Unknown,730,0.0009,Jharkhand,01-01-1996,Loser,-269212
L,Loksabha,Dhanbad,Jeetender Singh, Male,Unknown,Unknown,IND, Independent,Unknown,729,0.0009,Jharkhand,01-01-1996,Loser,-269213
L,Loksabha,Dhanbad,Yogendra Singh, Male,Unknown,Unknown,IND, Independent,Unknown,606,0.0008,Jharkhand,01-01-1996,Loser,-269336
L,Loksabha,Dhanbad,Md Mith Khalipha, Male,Unknown,Unknown,IND, Independent,Unknown,599,0.0007,Jharkhand,01-01-1996,Loser,-269343
L,Loksabha,Dhanbad,Anil Kumar Singh, Male,Unknown,Unknown,IND, Independent,Unknown,599,0.0007,Jharkhand,01-01-1996,Loser,-269343
L,Loksabha,Dhanbad,R R Pramanik, Male,Unknown,Unknown,SHS, Shivsena,Unknown,591,0.0007,Jharkhand,01-01-1996,Loser,-269351
L,Loksabha,Dhanbad,Ishwarlal Mahato, Male,Unknown,Unknown,IND, Independent,Unknown,586,0.0007,Jharkhand,01-01-1996,Loser,-269356
L,Loksabha,Dhanbad,Ratan Sharma, Male,Unknown,Unknown,IND, Independent,Unknown,585,0.0007,Jharkhand,01-01-1996,Loser,-269357
L,Loksabha,Dhanbad,Ambai Soren, Male,Unknown,Unknown,IND, Independent,Unknown,580,0.0007,Jharkhand,01-01-1996,Loser,-269362
L,Loksabha,Dhanbad,Bhola Rawani, Male,Unknown,Unknown,IND, Independent,Unknown,577,0.0007,Jharkhand,01-01-1996,Loser,-269365
L,Loksabha,Dhanbad,Durga Charan Mahto, Male,Unknown,Unknown,AMB, Amra Bangalee,Unknown,574,0.0007,Jharkhand,01-01-1996,Loser,-269368
L,Loksabha,Dhanbad,Chandra Sekhar Singh Tufan, Male,Unknown,Unknown,IND, Independent,Unknown,523,0.0006,Jharkhand,01-01-1996,Loser,-269419
L,Loksabha,Dhanbad,Ashok Kumar Singh, Male,Unknown,Unknown,IND, Independent,Unknown,490,0.0006,Jharkhand,01-01-1996,Loser,-269452
L,Loksabha,Dhanbad,Ramnath Singh, Male,Unknown,Unknown,IND, Independent,Unknown,475,0.0006,Jharkhand,01-01-1996,Loser,-269467
L,Loksabha,Dhanbad,Vinod Kumar, Male,Unknown,Unknown,IND, Independent,Unknown,457,0.0006,Jharkhand,01-01-1996,Loser,-269485
L,Loksabha,Dhanbad,Shakuntala Mishra, Female,Unknown,Unknown,IND, Independent,Unknown,415,0.0005,Jharkhand,01-01-1996,Loser,-269527
L,Loksabha,Dhanbad,Suklal Mahto, Male,Unknown,Unknown,AIIC(T), All India Indira Congress (tiwari),Unknown,394,0.0005,Jharkhand,01-01-1996,Loser,-269548
L,Loksabha,Dhanbad,Uma Shanker Prasad, Male,Unknown,Unknown,IND, Independent,Unknown,378,0.0005,Jharkhand,01-01-1996,Loser,-269564
L,Loksabha,Dhanbad,Paramjit Singh, Male,Unknown,Unknown,IND, Independent,Unknown,349,0.0004,Jharkhand,01-01-1996,Loser,-269593
L,Loksabha,Dhanbad,Jamini Ka Mukherjee, Male,Unknown,Unknown,IND, Independent,Unknown,348,0.0004,Jharkhand,01-01-1996,Loser,-269594
L,Loksabha,Dhanbad,Amitab Dutta, Male,Unknown,Unknown,IND, Independent,Unknown,329,0.0004,Jharkhand,01-01-1996,Loser,-269613
L,Loksabha,Dhanbad,Awadh Kishore Prasad, Male,Unknown,Unknown,IND, Independent,Unknown,314,0.0004,Jharkhand,01-01-1996,Loser,-269628
L,Loksabha,Dhanbad,Alok Kumar, Male,Unknown,Unknown,IND, Independent,Unknown,296,0.0004,Jharkhand,01-01-1996,Loser,-269646
L,Loksabha,Dhanbad,Kedar Prasad, Male,Unknown,Unknown,IND, Independent,Unknown,279,0.0003,Jharkhand,01-01-1996,Loser,-269663
L,Loksabha,Dhanbad,Panchdeo Narayan, Male,Unknown,Unknown,BPI, Bolshevik Party Of India,Unknown,274,0.0003,Jharkhand,01-01-1996,Loser,-269668
L,Loksabha,Dhanbad,Kapildeo Yadav, Male,Unknown,Unknown,IND, Independent,Unknown,247,0.0003,Jharkhand,01-01-1996,Loser,-269695
L,Loksabha,Dhanbad,Ashis Kumar Nandi, Male,Unknown,Unknown,IND, Independent,Unknown,223,0.0003,Jharkhand,01-01-1996,Loser,-269719
L,Loksabha,Dhanbad,Shankar Prasad Khandelwal, Male,Unknown,Unknown,IND, Independent,Unknown,210,0.0003,Jharkhand,01-01-1996,Loser,-269732
L,Loksabha,Dhanbad,Anandi Mistry, Male,Unknown,Unknown,IND, Independent,Unknown,204,0.0003,Jharkhand,01-01-1996,Loser,-269738
L,Loksabha,Dhanbad,Syed Abu Samim, Male,Unknown,Unknown,IND, Independent,Unknown,190,0.0002,Jharkhand,01-01-1996,Loser,-269752
L,Loksabha,Dhanbad,Anil Kumar Singh, Male,Unknown,Unknown,IND, Independent,Unknown,189,0.0002,Jharkhand,01-01-1996,Loser,-269753
L,Loksabha,Dhanbad,Indu Singh, Female,Unknown,Unknown,IND, Independent,Unknown,167,0.0002,Jharkhand,01-01-1996,Loser,-269775
L,Loksabha,Dhanbad,Shri Krishna Paswan, Male,Unknown,Unknown,IND, Independent,Unknown,146,0.0002,Jharkhand,01-01-1996,Loser,-269796
L,Loksabha,Dhanbad,Sudarshan Prasad Mishra Chandan, Male,Unknown,Unknown,IND, Independent,Unknown,137,0.0002,Jharkhand,01-01-1996,Loser,-269805
L,Loksabha,Dhanbad,Rita Verma (w), Female,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,257066,0.442900002,Jharkhand,01-01-1991,Winner,85299
L,Loksabha,Dhanbad,A K Roy, Male,Unknown,Unknown,M-COR, Marxist Co-ordination,Unknown,171767,0.295899987,Jharkhand,01-01-1991,Loser,-85299
L,Loksabha,Dhanbad,Aklu Ram Mahto, Male,Unknown,Unknown,JMM, Jharkhand Mukti Morcha,Unknown,61252,0.105499998,Jharkhand,01-01-1991,Loser,-195814
L,Loksabha,Dhanbad,Yogeshwar Prasad Yogesh, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,56413,0.097199999,Jharkhand,01-01-1991,Loser,-200653
L,Loksabha,Dhanbad,Amtaf Dutta, Male,Unknown,Unknown,IND, Independent,Unknown,4856,0.0084,Jharkhand,01-01-1991,Loser,-252210
L,Loksabha,Dhanbad,Ram Prasad Nonia, Male,Unknown,Unknown,IND, Independent,Unknown,3449,0.0059,Jharkhand,01-01-1991,Loser,-253617
L,Loksabha,Dhanbad,Rajendra Nishad, Male,Unknown,Unknown,IND, Independent,Unknown,2438,0.0042,Jharkhand,01-01-1991,Loser,-254628
L,Loksabha,Dhanbad,A N Dubey, Male,Unknown,Unknown,IND, Independent,Unknown,1977,0.0034,Jharkhand,01-01-1991,Loser,-255089
L,Loksabha,Dhanbad,Nandi Kishore Chow, Male,Unknown,Unknown,IND, Independent,Unknown,1918,0.0033,Jharkhand,01-01-1991,Loser,-255148
L,Loksabha,Dhanbad,Vavneshwar Pd Singh, Male,Unknown,Unknown,SSD, Soshit Samaj Dal,Unknown,1398,0.0024,Jharkhand,01-01-1991,Loser,-255668
L,Loksabha,Dhanbad,Nand Kumar Pandey, Male,Unknown,Unknown,JKP, Jharkhand Party,Unknown,1373,0.0024,Jharkhand,01-01-1991,Loser,-255693
L,Loksabha,Dhanbad,Shamaele Nabi, Male,Unknown,Unknown,JP, Janata Party,Unknown,1138,0.002,Jharkhand,01-01-1991,Loser,-255928
L,Loksabha,Dhanbad,Devan Manjhi, Male,Unknown,Unknown,IND, Independent,Unknown,1058,0.0018,Jharkhand,01-01-1991,Loser,-256008
L,Loksabha,Dhanbad,Satyendra Kumar Azad, Male,Unknown,Unknown,BSP, Bahujan Samaj Party,Unknown,1054,0.0018,Jharkhand,01-01-1991,Loser,-256012
L,Loksabha,Dhanbad,Rajendra Saw, Male,Unknown,Unknown,IND, Independent,Unknown,1016,0.0018,Jharkhand,01-01-1991,Loser,-256050
L,Loksabha,Dhanbad,Md Fahim Khan, Male,Unknown,Unknown,IND, Independent,Unknown,867,0.0015,Jharkhand,01-01-1991,Loser,-256199
L,Loksabha,Dhanbad,Masih Soren, Male,Unknown,Unknown,IND, Independent,Unknown,765,0.0013,Jharkhand,01-01-1991,Loser,-256301
L,Loksabha,Dhanbad,Durga Pd Keshari, Male,Unknown,Unknown,IND, Independent,Unknown,756,0.0013,Jharkhand,01-01-1991,Loser,-256310
L,Loksabha,Dhanbad,Ambai Soyen, Male,Unknown,Unknown,IND, Independent,Unknown,747,0.0013,Jharkhand,01-01-1991,Loser,-256319
L,Loksabha,Dhanbad,Krishna Paswan, Male,Unknown,Unknown,IND, Independent,Unknown,739,0.0013,Jharkhand,01-01-1991,Loser,-256327
L,Loksabha,Dhanbad,A P Sharma, Male,Unknown,Unknown,IND, Independent,Unknown,689,0.0012,Jharkhand,01-01-1991,Loser,-256377
L,Loksabha,Dhanbad,Rajendra Prasad Pandey, Male,Unknown,Unknown,IND, Independent,Unknown,629,0.0011,Jharkhand,01-01-1991,Loser,-256437
L,Loksabha,Dhanbad,Rajendra Singh, Male,Unknown,Unknown,IND, Independent,Unknown,601,0.001,Jharkhand,01-01-1991,Loser,-256465
L,Loksabha,Dhanbad,Jitendra Kumar Singh, Male,Unknown,Unknown,IND, Independent,Unknown,589,0.001,Jharkhand,01-01-1991,Loser,-256477
L,Loksabha,Dhanbad,Movin Akhtar, Male,Unknown,Unknown,IND, Independent,Unknown,548,0.0009,Jharkhand,01-01-1991,Loser,-256518
L,Loksabha,Dhanbad,Ashish Kumar Nandi, Male,Unknown,Unknown,IND, Independent,Unknown,485,0.0008,Jharkhand,01-01-1991,Loser,-256581
L,Loksabha,Dhanbad,Ajodhya Raman, Male,Unknown,Unknown,IND, Independent,Unknown,479,0.0008,Jharkhand,01-01-1991,Loser,-256587
L,Loksabha,Dhanbad,Ram Vandan Singh, Male,Unknown,Unknown,IND, Independent,Unknown,475,0.0008,Jharkhand,01-01-1991,Loser,-256591
L,Loksabha,Dhanbad,Jai Mohan Thakur, Male,Unknown,Unknown,DDP, Door Darshi Party,Unknown,463,0.0008,Jharkhand,01-01-1991,Loser,-256603
L,Loksabha,Dhanbad,Budhan Ram, Male,Unknown,Unknown,BKUS, Bharatiya Krishi Udyog Sangh,Unknown,414,0.0007,Jharkhand,01-01-1991,Loser,-256652
L,Loksabha,Dhanbad,M S Chhabra, Male,Unknown,Unknown,IND, Independent,Unknown,389,0.0007,Jharkhand,01-01-1991,Loser,-256677
L,Loksabha,Dhanbad,Ganauri Paswan, Male,Unknown,Unknown,IND, Independent,Unknown,375,0.0006,Jharkhand,01-01-1991,Loser,-256691
L,Loksabha,Dhanbad,Sudhanshu Mahtha, Male,Unknown,Unknown,IND, Independent,Unknown,358,0.0006,Jharkhand,01-01-1991,Loser,-256708
L,Loksabha,Dhanbad,Ishwar Mahto, Male,Unknown,Unknown,IND, Independent,Unknown,324,0.0006,Jharkhand,01-01-1991,Loser,-256742
L,Loksabha,Dhanbad,Suman Kumar Singh, Male,Unknown,Unknown,IND, Independent,Unknown,300,0.0005,Jharkhand,01-01-1991,Loser,-256766
L,Loksabha,Dhanbad,Vinod Bihari Sinha, Male,Unknown,Unknown,IND, Independent,Unknown,289,0.0005,Jharkhand,01-01-1991,Loser,-256777
L,Loksabha,Dhanbad,Ram Avtar Agarwal, Male,Unknown,Unknown,IND, Independent,Unknown,274,0.0005,Jharkhand,01-01-1991,Loser,-256792
L,Loksabha,Dhanbad,Md Aslam, Male,Unknown,Unknown,IND, Independent,Unknown,254,0.0004,Jharkhand,01-01-1991,Loser,-256812
L,Loksabha,Dhanbad,Sudarshan Mishra, Male,Unknown,Unknown,IND, Independent,Unknown,218,0.0004,Jharkhand,01-01-1991,Loser,-256848
L,Loksabha,Dhanbad,Izhar Ahmad, Male,Unknown,Unknown,IND, Independent,Unknown,203,0.0003,Jharkhand,01-01-1991,Loser,-256863
L,Loksabha,Dhanbad,A K Roy, Male,Unknown,Unknown,M-COR, Marxist (co-ordination),Unknown,247013,0.387800008,Jharkhand,01-01-1989,Winner,13571
L,Loksabha,Dhanbad,Samresh Singh, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,233442,0.36649999,Jharkhand,01-01-1989,Loser,-13571
L,Loksabha,Dhanbad,Shankar Dayal Singh, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,118770,0.186399996,Jharkhand,01-01-1989,Loser,-128243
L,Loksabha,Dhanbad,Virju, Male,Unknown,Unknown,IND, Independent,Unknown,5521,0.0087,Jharkhand,01-01-1989,Loser,-241492
L,Loksabha,Dhanbad,Raniti Pd Sinha, Male,Unknown,Unknown,IND, Independent,Unknown,4707,0.0074,Jharkhand,01-01-1989,Loser,-242306
L,Loksabha,Dhanbad,Shankar Kishore Mahto, Male,Unknown,Unknown,JMM, Jharkhand Mukti Morcha,Unknown,4254,0.0067,Jharkhand,01-01-1989,Loser,-242759
L,Loksabha,Dhanbad,Arvind Kumar Sinha, Male,Unknown,Unknown,IND, Independent,Unknown,4055,0.0064,Jharkhand,01-01-1989,Loser,-242958
L,Loksabha,Dhanbad,Budhan Ram, Male,Unknown,Unknown,IND, Independent,Unknown,2942,0.0046,Jharkhand,01-01-1989,Loser,-244071
L,Loksabha,Dhanbad,Devan Majhi, Male,Unknown,Unknown,IND, Independent,Unknown,1831,0.0029,Jharkhand,01-01-1989,Loser,-245182
L,Loksabha,Dhanbad,A N Dubey, Male,Unknown,Unknown,IND, Independent,Unknown,1710,0.0027,Jharkhand,01-01-1989,Loser,-245303
L,Loksabha,Dhanbad,Vaidyanath Singh Chaudhary, Male,Unknown,Unknown,DDP, Doordarshi Party,Unknown,1704,0.0027,Jharkhand,01-01-1989,Loser,-245309
L,Loksabha,Dhanbad,Ambai Saren, Male,Unknown,Unknown,IND, Independent,Unknown,1680,0.0026,Jharkhand,01-01-1989,Loser,-245333
L,Loksabha,Dhanbad,Rajeswar Pd Singh, Male,Unknown,Unknown,IND, Independent,Unknown,1609,0.0025,Jharkhand,01-01-1989,Loser,-245404
L,Loksabha,Dhanbad,Val Mukund Diwakar, Male,Unknown,Unknown,IND, Independent,Unknown,1247,0.002,Jharkhand,01-01-1989,Loser,-245766
L,Loksabha,Dhanbad,Ganauri Paswan, Male,Unknown,Unknown,IND, Independent,Unknown,1173,0.0018,Jharkhand,01-01-1989,Loser,-245840
L,Loksabha,Dhanbad,Ramavatar Sah, Male,Unknown,Unknown,IND, Independent,Unknown,1083,0.0017,Jharkhand,01-01-1989,Loser,-245930
L,Loksabha,Dhanbad,Sudershan Mishra, Male,Unknown,Unknown,IND, Independent,Unknown,833,0.0013,Jharkhand,01-01-1989,Loser,-246180
L,Loksabha,Dhanbad,Quyum Ansari, Male,Unknown,Unknown,IND, Independent,Unknown,812,0.0013,Jharkhand,01-01-1989,Loser,-246201
L,Loksabha,Dhanbad,Sudhanshu Mahtha, Male,Unknown,Unknown,IND, Independent,Unknown,693,0.0011,Jharkhand,01-01-1989,Loser,-246320
L,Loksabha,Dhanbad,Ramashankar, Male,Unknown,Unknown,IND, Independent,Unknown,683,0.0011,Jharkhand,01-01-1989,Loser,-246330
L,Loksabha,Dhanbad,Ram Sunder Bharti, Male,Unknown,Unknown,IND, Independent,Unknown,636,0.001,Jharkhand,01-01-1989,Loser,-246377
L,Loksabha,Dhanbad,Ashish Kumar Nandi, Male,Unknown,Unknown,IND, Independent,Unknown,623,0.001,Jharkhand,01-01-1989,Loser,-246390
L,Loksabha,Dhanbad,Shankar Dayal Singh, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,203909,0.413700014,Jharkhand,01-01-1984,Winner,62295
L,Loksabha,Dhanbad,A K Roy, Male,Unknown,Unknown,IND, Independent,Unknown,141614,0.287299991,Jharkhand,01-01-1984,Loser,-62295
L,Loksabha,Dhanbad,Samres Singh, Male,Unknown,Unknown,BJP, Bharatiya Janta Party,Unknown,70438,0.142900005,Jharkhand,01-01-1984,Loser,-133471
L,Loksabha,Dhanbad,Surya Deb Singh, Male,Unknown,Unknown,JNP, Janata Party,Unknown,55283,0.112199999,Jharkhand,01-01-1984,Loser,-148626
L,Loksabha,Dhanbad,A N Dubey, Male,Unknown,Unknown,IND, Independent,Unknown,3054,0.0062,Jharkhand,01-01-1984,Loser,-200855
L,Loksabha,Dhanbad,Budhan Ram, Male,Unknown,Unknown,IND, Independent,Unknown,2257,0.0046,Jharkhand,01-01-1984,Loser,-201652
L,Loksabha,Dhanbad,Pradeep Kumar Sarkar, Male,Unknown,Unknown,IND, Independent,Unknown,2102,0.0043,Jharkhand,01-01-1984,Loser,-201807
L,Loksabha,Dhanbad,Kumar Virendra Nath, Male,Unknown,Unknown,IND, Independent,Unknown,1534,0.0031,Jharkhand,01-01-1984,Loser,-202375
L,Loksabha,Dhanbad,Krishna Prasad Sinha, Male,Unknown,Unknown,IND, Independent,Unknown,1330,0.0027,Jharkhand,01-01-1984,Loser,-202579
L,Loksabha,Dhanbad,Nandal Gour, Male,Unknown,Unknown,IND, Independent,Unknown,1310,0.0027,Jharkhand,01-01-1984,Loser,-202599
L,Loksabha,Dhanbad,Rajendra Pd Agarwal, Male,Unknown,Unknown,IND, Independent,Unknown,1254,0.0025,Jharkhand,01-01-1984,Loser,-202655
L,Loksabha,Dhanbad,Amwai Soren, Male,Unknown,Unknown,IND, Independent,Unknown,1247,0.0025,Jharkhand,01-01-1984,Loser,-202662
L,Loksabha,Dhanbad,Ganauri Paswan, Male,Unknown,Unknown,IND, Independent,Unknown,1155,0.0023,Jharkhand,01-01-1984,Loser,-202754
L,Loksabha,Dhanbad,Shankar Pandey, Male,Unknown,Unknown,IND, Independent,Unknown,885,0.0018,Jharkhand,01-01-1984,Loser,-203024
L,Loksabha,Dhanbad,Pran Krishna Mahto, Male,Unknown,Unknown,IND, Independent,Unknown,753,0.0015,Jharkhand,01-01-1984,Loser,-203156
L,Loksabha,Dhanbad,Subhas Chandra Verma, Male,Unknown,Unknown,IND, Independent,Unknown,746,0.0015,Jharkhand,01-01-1984,Loser,-203163
L,Loksabha,Dhanbad,Raju Malakar, Male,Unknown,Unknown,IND, Independent,Unknown,712,0.0014,Jharkhand,01-01-1984,Loser,-203197
L,Loksabha,Dhanbad,Raghav Singh, Male,Unknown,Unknown,IND, Independent,Unknown,671,0.0014,Jharkhand,01-01-1984,Loser,-203238
L,Loksabha,Dhanbad,Badri Ravidas, Male,Unknown,Unknown,ICJ, Indian Congress (j),Unknown,595,0.0012,Jharkhand,01-01-1984,Loser,-203314
L,Loksabha,Dhanbad,Arjun Pandey, Male,Unknown,Unknown,IND, Independent,Unknown,557,0.0011,Jharkhand,01-01-1984,Loser,-203352
L,Loksabha,Dhanbad,Uma Shankar Pd, Male,Unknown,Unknown,IND, Independent,Unknown,555,0.0011,Jharkhand,01-01-1984,Loser,-203354
L,Loksabha,Dhanbad,Ajay K Shrivastava, Male,Unknown,Unknown,IND, Independent,Unknown,419,0.0009,Jharkhand,01-01-1984,Loser,-203490
L,Loksabha,Dhanbad,Mahesh Pd Singh, Male,Unknown,Unknown,IND, Independent,Unknown,276,0.0006,Jharkhand,01-01-1984,Loser,-203633
L,Loksabha,Dhanbad,Anil K Banerjee, Male,Unknown,Unknown,IND, Independent,Unknown,256,0.0005,Jharkhand,01-01-1984,Loser,-203653
L,Loksabha,Dhanbad,A K Roy, Male,Unknown,Unknown,IND, Independents,Unknown,136280,0.342400014,Jharkhand,01-01-1980,Winner,15306
L,Loksabha,Dhanbad,Yogeshwar Prasad 'yogesh', Male,Unknown,Unknown,INC(I), Indian National Congress (i),Unknown,120974,0.30399999,Jharkhand,01-01-1980,Loser,-15306
L,Loksabha,Dhanbad,Narendra Kumar Singh, Male,Unknown,Unknown,JNP, Janta Party,Unknown,78081,0.196199998,Jharkhand,01-01-1980,Loser,-58199
L,Loksabha,Dhanbad,Ahmad Kumar Ansari, Male,Unknown,Unknown,JNP(S), Janta Party (secular),Unknown,27605,0.069399998,Jharkhand,01-01-1980,Loser,-108675
L,Loksabha,Dhanbad,Aklu Ram Mahato, Male,Unknown,Unknown,IND, Independents,Unknown,10931,0.0275,Jharkhand,01-01-1980,Loser,-125349
L,Loksabha,Dhanbad,Kedar Prasad Sao, Male,Unknown,Unknown,IND, Independents,Unknown,4263,0.0107,Jharkhand,01-01-1980,Loser,-132017
L,Loksabha,Dhanbad,Haradhan Singh, Male,Unknown,Unknown,IND, Independents,Unknown,2797,0.007,Jharkhand,01-01-1980,Loser,-133483
L,Loksabha,Dhanbad,S P Roy, Male,Unknown,Unknown,INC(U), Indian National Congress (u),Unknown,2681,0.0067,Jharkhand,01-01-1980,Loser,-133599
L,Loksabha,Dhanbad,Surajdeo Na Yadav, Male,Unknown,Unknown,IND, Independents,Unknown,1992,0.005,Jharkhand,01-01-1980,Loser,-134288
