Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Tripura East,Rebati Tripura, Male,43, ST,BJP, Bharatiya Janata Party, lotus,482126,0.460900009,Tripura,01-01-2019,Winner,204290
L,Loksabha,Tripura East,Maharaj Kumari Pragya Debburman, Female,50, ST,INC, Indian National Congress, hand,277836,0.265599996,Tripura,01-01-2019,Loser,-204290
L,Loksabha,Tripura East,Jitendra Chaudhury, Male,60, ST,CPIM, Communist Party Of India (marxist)," hammer, sickle and star",200963,0.192100003,Tripura,01-01-2019,Loser,-281163
L,Loksabha,Tripura East,Narendra Chandra Debbarma, Male,76, ST,IPFT, Indigenous People's Front Of Tripura, dao,45304,0.043299999,Tripura,01-01-2019,Loser,-436822
L,Loksabha,Tripura East,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,11214,0.0107,Tripura,01-01-2019,Loser,-470912
L,Loksabha,Tripura East,Karnadhan Chakma, Male,47, ST,AMB, Amra Bangalee, battery torch,6944,0.0066,Tripura,01-01-2019,Loser,-475182
L,Loksabha,Tripura East,Bijoy Debbarma, Male,65, ST,IND, Independent, ship,5276,0.005,Tripura,01-01-2019,Loser,-476850
L,Loksabha,Tripura East,Subir Kumar Jamatia, Male,57, ST,IND, Independent, almirah,4581,0.0044,Tripura,01-01-2019,Loser,-477545
L,Loksabha,Tripura East,Dipti Halam, Female,42, ST,IND, Independent, air conditioner,3839,0.0037,Tripura,01-01-2019,Loser,-478287
L,Loksabha,Tripura East,Amar Debbarma, Male,41, ST,IND, Independent, saw,3706,0.0035,Tripura,01-01-2019,Loser,-478420
L,Loksabha,Tripura East,Chitta Ranjan Debbarma, Male,58, ST,IND, Independent, walking stick,3628,0.0035,Tripura,01-01-2019,Loser,-478498
L,Loksabha,Tripura East,Jitendra Chaudhury, Male,57, ST,CPM, Communist Party Of India (marxist)," hammer, sickle and star",623771,0.546999991,Tripura,01-01-2014,Winner,484358
L,Loksabha,Tripura East,Sachitra Debbarma, Male,64, ST,INC, Indian National Congress, hand,139413,0.122299999,Tripura,01-01-2014,Loser,-484358
L,Loksabha,Tripura East,Bhriguram Reang, Male,65, ST,AITC, All India Trinamool Congress, flowers and grass,77028,0.067599997,Tripura,01-01-2014,Loser,-546743
L,Loksabha,Tripura East,Parikshit Debbarma, Male,53, ST,BJP, Bharatiya Janata Party, lotus,60613,0.053199999,Tripura,01-01-2014,Loser,-563158
L,Loksabha,Tripura East,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,11084,0.0097,Tripura,01-01-2014,Loser,-612687
L,Loksabha,Tripura East,Narendra Chandra Deb Barma, Male,72, ST,IPFT, Indigenousn People's Front Of Tripura, dao,10286,0.009,Tripura,01-01-2014,Loser,-613485
L,Loksabha,Tripura East,Prabiddha Reang, Male,52, ST,IND, Independent, battery torch,5066,0.0044,Tripura,01-01-2014,Loser,-618705
L,Loksabha,Tripura East,Karna Bijoy Jamatia, Male,39, ST,AAAP, Aam Aadmi Party, broom,4871,0.0043,Tripura,01-01-2014,Loser,-618900
L,Loksabha,Tripura East,Falguni Tripura, Male,47, ST,CPI(ML)(L), Communist Party Of India (marxist-leninist)(liberation), flag with three stars,4444,0.0039,Tripura,01-01-2014,Loser,-619327
L,Loksabha,Tripura East,Basu Mog, Male,55, ST,TPGC, Tripura Pragatishil Gramin Congress, candles,4262,0.0037,Tripura,01-01-2014,Loser,-619509
L,Loksabha,Tripura East,Subarna Mala Debbarma, Female,45, ST,AMB, Amra Bangalee, camera,4152,0.0036,Tripura,01-01-2014,Loser,-619619
L,Loksabha,Tripura East,Bikash Debbarma, Male,42, ST,JMBP, Jai Maha Bharath Party, balloon,3086,0.0027,Tripura,01-01-2014,Loser,-620685
L,Loksabha,Tripura East,Patal Kanya Jamatia, Female,39, ST,IND, Independent, flute,3004,0.0026,Tripura,01-01-2014,Loser,-620767
L,Loksabha,Tripura East,Baju Ban Riyan, Male,67, ST,CPM, Communist Party Of India (marxist),Unknown,521084,0.527199984,Tripura,01-01-2009,Winner,295581
L,Loksabha,Tripura East,Diba Chandra Hrangkhawl, Male,52, ST,INC, Indian National Congress,Unknown,225503,0.228100002,Tripura,01-01-2009,Loser,-295581
L,Loksabha,Tripura East,Pulin Behari Dewan, Male,69, ST,BJP, Bharatiya Janata Party,Unknown,33989,0.034400001,Tripura,01-01-2009,Loser,-487095
L,Loksabha,Tripura East,Karna Dhan Chakma, Male,37, ST,AMB, Amra Bangalee,Unknown,10468,0.0106,Tripura,01-01-2009,Loser,-510616
L,Loksabha,Tripura East,Rajesh Debbarma, Male,34, ST,IND, Independent,Unknown,9962,0.0101,Tripura,01-01-2009,Loser,-511122
L,Loksabha,Tripura East,Binoy Reang, Male,34, ST,IND, Independent,Unknown,6256,0.0063,Tripura,01-01-2009,Loser,-514828
L,Loksabha,Tripura East,Falguni Tripura, Male,42, ST,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,4886,0.0049,Tripura,01-01-2009,Loser,-516198
L,Loksabha,Tripura East,Mevar Kumar Jamatia, Male,40, ST,IND, Independent,Unknown,4645,0.0047,Tripura,01-01-2009,Loser,-516439
L,Loksabha,Tripura East,Rita Rani Debbarma, Female,51, ST,AITC, All India Trinamool Congress,Unknown,4191,0.0042,Tripura,01-01-2009,Loser,-516893
L,Loksabha,Tripura East,Baju Ban Riyan, Male,59, ST,CPM, Communist Party Of India (marxist),Unknown,414230,NULL,Tripura,01-01-2004,Winner,310736
L,Loksabha,Tripura East,Pulin Bihari Dewan, Male,63, ST,BJP, Bharatiya Janata Party,Unknown,103494,NULL,Tripura,01-01-2004,Loser,-310736
L,Loksabha,Tripura East,Jadu Mohan Tripura, Male,56, ST,INC, Indian National Congress,Unknown,76927,NULL,Tripura,01-01-2004,Loser,-337303
L,Loksabha,Tripura East,Dija Raj Tripura, Male,46, ST,IND, Independent,Unknown,14027,NULL,Tripura,01-01-2004,Loser,-400203
L,Loksabha,Tripura East,Karna Dhan Chakma, Male,30, ST,AMB, Amra Bangalee,Unknown,7941,NULL,Tripura,01-01-2004,Loser,-406289
L,Loksabha,Tripura East,Charai Muni Jamatia, Male,50, ST,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,6475,NULL,Tripura,01-01-2004,Loser,-407755
L,Loksabha,Tripura East,Baju Ban Riyan, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,304934,0.548200011,Tripura,01-01-1999,Winner,150500
L,Loksabha,Tripura East,Jishnu Dev Varma, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,154434,0.27759999,Tripura,01-01-1999,Loser,-150500
L,Loksabha,Tripura East,Kashiram Reang, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,83789,0.150600001,Tripura,01-01-1999,Loser,-221145
L,Loksabha,Tripura East,Debabrata Koloy, Male,Unknown,Unknown,IND, Independent,Unknown,7343,0.0132,Tripura,01-01-1999,Loser,-297591
L,Loksabha,Tripura East,Samarendra Chakma, Male,Unknown,Unknown,AMB, Amra Bangalee,Unknown,5751,0.0103,Tripura,01-01-1999,Loser,-299183
L,Loksabha,Tripura East,Baju Ban Riyan, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,320766,0.503000021,Tripura,01-01-1998,Winner,72686
L,Loksabha,Tripura East,Drao Kumar Reang, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,248080,0.388999999,Tripura,01-01-1998,Loser,-72686
L,Loksabha,Tripura East,Jishnu Dev Varma, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,61840,0.097000003,Tripura,01-01-1998,Loser,-258926
L,Loksabha,Tripura East,Madhuri Kalai (rudrapaul), Female,Unknown,Unknown,AMB, Amra Bangalee,Unknown,4972,0.0078,Tripura,01-01-1998,Loser,-315794
L,Loksabha,Tripura East,Dija Raj Tripura, Male,Unknown,Unknown,IND, Independent,Unknown,1999,0.0031,Tripura,01-01-1998,Loser,-318767
L,Loksabha,Tripura East,Baju Ban Riyan, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,327929,0.543500006,Tripura,01-01-1996,Winner,154369
L,Loksabha,Tripura East,Kashiram Reang, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,173560,0.287600011,Tripura,01-01-1996,Loser,-154369
L,Loksabha,Tripura East,Jishnu Dev Varma, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,50197,0.0832,Tripura,01-01-1996,Loser,-277732
L,Loksabha,Tripura East,Gourisankar Reang, Male,Unknown,Unknown,TUJS, Tripura Upajati Juba Samity,Unknown,28367,0.046999998,Tripura,01-01-1996,Loser,-299562
L,Loksabha,Tripura East,Madhuri Kalai (rudrapal), Female,Unknown,Unknown,AMB, Amra Bangalee,Unknown,12976,0.021500001,Tripura,01-01-1996,Loser,-314953
L,Loksabha,Tripura East,Maharani Bibhu Kumari Devi, Female,Unknown,Unknown,AIIC(T), All India Indira Congress (tiwari),Unknown,4928,0.0082,Tripura,01-01-1996,Loser,-323001
L,Loksabha,Tripura East,Debendra Malsom, Male,Unknown,Unknown,IND, Independent,Unknown,3033,0.005,Tripura,01-01-1996,Loser,-324896
L,Loksabha,Tripura East,Alindra Debbarma, Male,Unknown,Unknown,IND, Independent,Unknown,1352,0.0022,Tripura,01-01-1996,Loser,-326577
L,Loksabha,Tripura East,Charaimuni Jamatia, Male,Unknown,Unknown,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,1060,0.0018,Tripura,01-01-1996,Loser,-326869
L,Loksabha,Tripura East,Bibhu Kumari Devi (w), Female,Unknown,Unknown,INC, Indian National Congress,Unknown,377436,0.820599973,Tripura,01-01-1991,Winner,346653
L,Loksabha,Tripura East,Baju Ban Riyan, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,30783,0.0669,Tripura,01-01-1991,Loser,-346653
L,Loksabha,Tripura East,Minati Roy (w), Female,Unknown,Unknown,AMB, Amra Bangalee,Unknown,22762,0.0495,Tripura,01-01-1991,Loser,-354674
L,Loksabha,Tripura East,Maharaj Kumar Nakshatra Bikram Debbarma, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,14697,0.032000002,Tripura,01-01-1991,Loser,-362739
L,Loksabha,Tripura East,Ananta Debbarma, Male,Unknown,Unknown,IND, Independent,Unknown,7186,0.0156,Tripura,01-01-1991,Loser,-370250
L,Loksabha,Tripura East,Debendra Malsom, Male,Unknown,Unknown,CPI(ML), Communist Party Of India (marxist-leninist),Unknown,5915,0.0129,Tripura,01-01-1991,Loser,-371521
L,Loksabha,Tripura East,Kamal Singh Jamatta, Male,Unknown,Unknown,IPF, Indian Peoples Front,Unknown,1157,0.0025,Tripura,01-01-1991,Loser,-376279
L,Loksabha,Tripura East,Manikya Bikram Kishore Debbarma Bahadur, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,292190,0.493000001,Tripura,01-01-1989,Winner,8401
L,Loksabha,Tripura East,Baju Banriyan, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,283789,0.478899986,Tripura,01-01-1989,Loser,-8401
L,Loksabha,Tripura East,Sudhangshu Sen, Male,Unknown,Unknown,AMB, Amara Bengali,Unknown,10202,0.017200001,Tripura,01-01-1989,Loser,-281988
L,Loksabha,Tripura East,Debendra Malsom, Male,Unknown,Unknown,IND, Independent,Unknown,5124,0.0086,Tripura,01-01-1989,Loser,-287066
L,Loksabha,Tripura East,Akshayananda Uchai, Male,Unknown,Unknown,IND, Independent,Unknown,1323,0.0022,Tripura,01-01-1989,Loser,-290867
L,Loksabha,Tripura East,Baju Ban Riyan, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,231023,0.523999989,Tripura,01-01-1984,Winner,41063
L,Loksabha,Tripura East,Kirit Bikram Kishore Debbarman, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,189960,0.430799991,Tripura,01-01-1984,Loser,-41063
L,Loksabha,Tripura East,Sneha Kumar Chakma, Male,Unknown,Unknown,IND, Independent,Unknown,14671,0.033300001,Tripura,01-01-1984,Loser,-216352
L,Loksabha,Tripura East,Niranjan Deb Barma, Male,Unknown,Unknown,IND, Independent,Unknown,5247,0.0119,Tripura,01-01-1984,Loser,-225776
L,Loksabha,Tripura East,Bajuban Riyan, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,196199,0.481900007,Tripura,01-01-1980,Winner,93906
L,Loksabha,Tripura East,Ratnaprava Das, Female,Unknown,Unknown,IND, Independents,Unknown,102293,0.251300007,Tripura,01-01-1980,Loser,-93906
L,Loksabha,Tripura East,Syamacharan Trippura, Male,Unknown,Unknown,TUS, Tripura Upajati Juba Samiti,Unknown,61398,0.150800005,Tripura,01-01-1980,Loser,-134801
L,Loksabha,Tripura East,Kashi Ram Reang, Male,Unknown,Unknown,INC(I), Indian National Congress (i),Unknown,44819,0.110100001,Tripura,01-01-1980,Loser,-151380
L,Loksabha,Tripura East,Hangsadwaj Dewan, Male,Unknown,Unknown,JNP, Janta Party,Unknown,2395,0.0059,Tripura,01-01-1980,Loser,-193804
L,Loksabha,Tripura East,Kirit Bikram Kishore Deb Barma, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,133907,0.476399988,Tripura,01-01-1977,Winner,13183
L,Loksabha,Tripura East,Dasaratha Deb, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,120724,0.429500014,Tripura,01-01-1977,Loser,-13183
L,Loksabha,Tripura East,Bijoy Kumar Harangkhawl, Male,Unknown,Unknown,TUS, Tripura Upajiti Juba Samiti,Unknown,13255,0.047200002,Tripura,01-01-1977,Loser,-120652
L,Loksabha,Tripura East,Aghore Deb Barma, Male,Unknown,Unknown,CPI, Communist Party Of India,Unknown,13180,0.0469,Tripura,01-01-1977,Loser,-120727
L,Loksabha,Tripura East,Dasaratha Deb, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,91192,0.419800013,Tripura,01-01-1971,Winner,21442
L,Loksabha,Tripura East,Ramendra Kishore Deb Barma, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,69750,0.321099997,Tripura,01-01-1971,Loser,-21442
L,Loksabha,Tripura East,Kishore Deb Barma Bahadur, Male,Unknown,Unknown,IND, Independents,Unknown,44559,0.2051,Tripura,01-01-1971,Loser,-46633
L,Loksabha,Tripura East,Birchandra Deb Barma, Male,Unknown,Unknown,CPI, Communist Party Of India,Unknown,11706,0.0539,Tripura,01-01-1971,Loser,-79486
L,Loksabha,Tripura West,Pratima Bhoumik, Female,50, GEN,BJP, Bharatiya Janata Party, lotus,573532,0.517400026,Tripura,01-01-2019,Winner,305689
L,Loksabha,Tripura West,Subal Bhowmik, Male,58, GEN,INC, Indian National Congress, hand,267843,0.241600007,Tripura,01-01-2019,Loser,-305689
L,Loksabha,Tripura West,Sankar Prasad Datta, Male,62, GEN,CPIM, Communist Party Of India (marxist)," hammer, sickle and star",171826,0.155000001,Tripura,01-01-2019,Loser,-401706
L,Loksabha,Tripura West,Brishaketu Debbarma, Male,42, ST,IPFT, Indigenous People's Front Of Tripura, dao,44225,0.039900001,Tripura,01-01-2019,Loser,-529307
L,Loksabha,Tripura West,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,11960,0.0108,Tripura,01-01-2019,Loser,-561572
L,Loksabha,Tripura West,Maman Khan, Male,34, GEN,AITC, All India Trinamool Congress, flowers and grass,8613,0.0078,Tripura,01-01-2019,Loser,-564919
L,Loksabha,Tripura West,Jayki Murasing, Male,25, ST,APoI, Ambedkarite Party Of India, coat,7133,0.0064,Tripura,01-01-2019,Loser,-566399
L,Loksabha,Tripura West,Arun Kumar Bhaumik, Male,64, GEN,SUCI(C), Socialist Unity Centre Of India (communist), bat,4525,0.0041,Tripura,01-01-2019,Loser,-569007
L,Loksabha,Tripura West,Subal Sarkar, Male,60, SC,IND, Independent, pineapple,4371,0.0039,Tripura,01-01-2019,Loser,-569161
L,Loksabha,Tripura West,Pradip Chakraborty, Male,49, GEN,IND, Independent, auto- rickshaw,3536,0.0032,Tripura,01-01-2019,Loser,-569996
L,Loksabha,Tripura West,Brajalal Debnath, Male,72, GEN,IND, Independent, key,3322,0.003,Tripura,01-01-2019,Loser,-570210
L,Loksabha,Tripura West,Prabir Debnath, Male,36, GEN,AMB, Amra Bangalee, camera,2764,0.0025,Tripura,01-01-2019,Loser,-570768
L,Loksabha,Tripura West,Kabrabam Dhirendra Singha, Male,43, GEN,TRIPP, Tripura Peoples Party, battery torch,2076,0.0019,Tripura,01-01-2019,Loser,-571456
L,Loksabha,Tripura West,Narayan Chandra Dey, Male,49, GEN,IND, Independent, trumpet,2029,0.0018,Tripura,01-01-2019,Loser,-571503
L,Loksabha,Tripura West,Sankar Prasad Datta, Male,56, GEN,CPM, Communist Party Of India (marxist)," hammer, sickle and star",671665,0.537999988,Tripura,01-01-2014,Winner,503486
L,Loksabha,Tripura West,Arunoday Saha, Male,65, GEN,INC, Indian National Congress, hand,168179,0.1347,Tripura,01-01-2014,Loser,-503486
L,Loksabha,Tripura West,Ratan Chakraborti, Male,63, GEN,AITC, All India Trinamool Congress, flowers and grass,117727,0.094300002,Tripura,01-01-2014,Loser,-553938
L,Loksabha,Tripura West,Sudhindra Chandra Dasgupta, Male,74, GEN,BJP, Bharatiya Janata Party, lotus,54706,0.0438,Tripura,01-01-2014,Loser,-616959
L,Loksabha,Tripura West,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,12699,0.0102,Tripura,01-01-2014,Loser,-658966
L,Loksabha,Tripura West,Binay Debbarma, Male,55, ST,IPFT, Indigenousn People's Front Of Tripura, dao,11040,0.0088,Tripura,01-01-2014,Loser,-660625
L,Loksabha,Tripura West,Arun Kumar Bhowmik, Male,59, GEN,SUCI, Socialist Unity Centre Of India(communist), glass tumbler,8202,0.0066,Tripura,01-01-2014,Loser,-663463
L,Loksabha,Tripura West,Joganati Datta, Female,52, GEN,IND, Independent, battery torch,5947,0.0048,Tripura,01-01-2014,Loser,-665718
L,Loksabha,Tripura West,Salil Saha, Male,54, GEN,AAAP, Aam Aadmi Party, broom,4981,0.004,Tripura,01-01-2014,Loser,-666684
L,Loksabha,Tripura West,Subal Bhowmik, Male,53, GEN,TPGC, Tripura Pragatishil Gramin Congress, candles,4690,0.0038,Tripura,01-01-2014,Loser,-666975
L,Loksabha,Tripura West,Partha Karmakar, Male,46, GEN,CPI(ML)(L), Communist Party Of India (marxist-leninist)(liberation), flag with three stars,4226,0.0034,Tripura,01-01-2014,Loser,-667439
L,Loksabha,Tripura West,Kamal Kanti Debnath, Male,63, GEN,IND, Independent, table lamp,3747,0.003,Tripura,01-01-2014,Loser,-667918
L,Loksabha,Tripura West,Rakhal Raj Datta, Male,69, GEN,AMB, Amra Bangalee, camera,2879,0.0023,Tripura,01-01-2014,Loser,-668786
L,Loksabha,Tripura West,Pjech Debbarma, Male,38, ST,JMBP, Jai Maha Bharath Party, balloon,2061,0.0017,Tripura,01-01-2014,Loser,-669604
L,Loksabha,Tripura West,Khagen Das, Male,71, GEN,CPM, Communist Party Of India (marxist),Unknown,563799,0.515500009,Tripura,01-01-2009,Winner,248549
L,Loksabha,Tripura West,Sudip Roy Barman, Male,45, GEN,INC, Indian National Congress,Unknown,315250,0.288199991,Tripura,01-01-2009,Loser,-248549
L,Loksabha,Tripura West,Nilmani Deb, Male,55, GEN,BJP, Bharatiya Janata Party,Unknown,25468,0.0233,Tripura,01-01-2009,Loser,-538331
L,Loksabha,Tripura West,Subrata Bhowmik, Male,58, GEN,IND, Independent,Unknown,10207,0.0093,Tripura,01-01-2009,Loser,-553592
L,Loksabha,Tripura West,Arun Chandra Bhaumik, Male,63, GEN,AITC, All India Trinamool Congress,Unknown,5504,0.005,Tripura,01-01-2009,Loser,-558295
L,Loksabha,Tripura West,Binay Debbarma, Male,49, ST,IND, Independent,Unknown,4628,0.0042,Tripura,01-01-2009,Loser,-559171
L,Loksabha,Tripura West,Partha Karmakar, Male,40, GEN,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,4140,0.0038,Tripura,01-01-2009,Loser,-559659
L,Loksabha,Tripura West,Rakhal Raj Datta, Male,60, GEN,AMB, Amra Bangalee,Unknown,3275,0.003,Tripura,01-01-2009,Loser,-560524
L,Loksabha,Tripura West,Sanjib Dey, Male,32, GEN,NCP, Nationalist Congress Party,Unknown,3118,0.0029,Tripura,01-01-2009,Loser,-560681
L,Loksabha,Tripura West,Titu Saha, Male,32, GEN,RDMP, Rashtriya Dehat Morcha Party,Unknown,2128,0.0019,Tripura,01-01-2009,Loser,-561671
L,Loksabha,Tripura West,Khagen Das, Male,64, GEN,CPM, Communist Party Of India (marxist),Unknown,496843,NULL,Tripura,01-01-2004,Winner,384636
L,Loksabha,Tripura West,Nirmala Dasgupta, Male,53, GEN,INC, Indian National Congress,Unknown,112207,NULL,Tripura,01-01-2004,Loser,-384636
L,Loksabha,Tripura West,Amal Mallik, Male,52, GEN,AITC, All India Trinamool Congress,Unknown,67379,NULL,Tripura,01-01-2004,Loser,-429464
L,Loksabha,Tripura West,Ramu Banik, Male,32, GEN,IND, Independent,Unknown,10787,NULL,Tripura,01-01-2004,Loser,-486056
L,Loksabha,Tripura West,Brajalal Debnath, Male,57, GEN,IND, Independent,Unknown,7023,NULL,Tripura,01-01-2004,Loser,-489820
L,Loksabha,Tripura West,Rakhalraj Datta, Male,55, GEN,AMB, Amra Bangalee,Unknown,6920,NULL,Tripura,01-01-2004,Loser,-489923
L,Loksabha,Tripura West,Samar Chowdhury, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,372553,0.574599981,Tripura,01-01-1999,Winner,198399
L,Loksabha,Tripura West,Sudhir Ranjan Majumdar, Male,Unknown,Unknown,AITC, All India Trinamool Congress,Unknown,174154,0.268599987,Tripura,01-01-1999,Loser,-198399
L,Loksabha,Tripura West,Pijush Kanti Biswas, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,83384,0.128600001,Tripura,01-01-1999,Loser,-289169
L,Loksabha,Tripura West,Sridam Deb Barma, Male,Unknown,Unknown,IND, Independent,Unknown,5292,0.0082,Tripura,01-01-1999,Loser,-367261
L,Loksabha,Tripura West,Partha Karmakar, Male,Unknown,Unknown,CPI(ML)(L), Communist Party Of India (marxist-lenninist) (liberation),Unknown,3464,0.0053,Tripura,01-01-1999,Loser,-369089
L,Loksabha,Tripura West,Jitendra Chandra Das, Male,Unknown,Unknown,IND, Independent,Unknown,2023,0.0031,Tripura,01-01-1999,Loser,-370530
L,Loksabha,Tripura West,Rakhalraj Datta, Male,Unknown,Unknown,AMB, Amra Bangalee,Unknown,1912,0.0029,Tripura,01-01-1999,Loser,-370641
L,Loksabha,Tripura West,Bir Ballav Saha, Male,Unknown,Unknown,NCP, Nationalist Congress Party,Unknown,1895,0.0029,Tripura,01-01-1999,Loser,-370658
L,Loksabha,Tripura West,Brajalal Debnath, Male,Unknown,Unknown,IND, Independent,Unknown,1379,0.0021,Tripura,01-01-1999,Loser,-371174
L,Loksabha,Tripura West,Pathik Chakraborty, Male,Unknown,Unknown,IND, Independent,Unknown,951,0.0015,Tripura,01-01-1999,Loser,-371602
L,Loksabha,Tripura West,Subrata Bhowmik, Male,Unknown,Unknown,RJD, Rashtriya Janata Dal,Unknown,949,0.0015,Tripura,01-01-1999,Loser,-371604
L,Loksabha,Tripura West,Madhusudan Saha, Male,Unknown,Unknown,AJBP, Ajeya Bharat Party,Unknown,387,0.0006,Tripura,01-01-1999,Loser,-372166
L,Loksabha,Tripura West,Samar Choudhury, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,347970,0.474799991,Tripura,01-01-1998,Winner,18876
L,Loksabha,Tripura West,Radhika Ranjan Gupta, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,329094,0.449099988,Tripura,01-01-1998,Loser,-18876
L,Loksabha,Tripura West,Hemendu Sankar Roy Choudhury, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,50391,0.068800002,Tripura,01-01-1998,Loser,-297579
L,Loksabha,Tripura West,Debendra Debbarma, Male,Unknown,Unknown,IND, Independent,Unknown,2285,0.0031,Tripura,01-01-1998,Loser,-345685
L,Loksabha,Tripura West,Bhuban Bijoy Majumder, Male,Unknown,Unknown,AMB, Amra Bangalee,Unknown,1873,0.0026,Tripura,01-01-1998,Loser,-346097
L,Loksabha,Tripura West,Subrata Bhowmik, Male,Unknown,Unknown,RJD, Rashtriya Janata Dal,Unknown,1195,0.0016,Tripura,01-01-1998,Loser,-346775
L,Loksabha,Tripura West,Badal Choudhury, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,346457,0.507000029,Tripura,01-01-1996,Winner,80811
L,Loksabha,Tripura West,Ashok Kumar Bhattacharyya, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,265646,0.388799995,Tripura,01-01-1996,Loser,-80811
L,Loksabha,Tripura West,Hemendu Sankar Roy Choudhury, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,33414,0.048900001,Tripura,01-01-1996,Loser,-313043
L,Loksabha,Tripura West,Shyama Chran Tripura, Male,Unknown,Unknown,TUJS, Tripura Upajati Juba Samity,Unknown,23933,0.035,Tripura,01-01-1996,Loser,-322524
L,Loksabha,Tripura West,Harinath Deb Barma, Male,Unknown,Unknown,IND, Independent,Unknown,4228,0.0062,Tripura,01-01-1996,Loser,-342229
L,Loksabha,Tripura West,Nikhil Debnath, Male,Unknown,Unknown,JD, Janata Dal,Unknown,3677,0.0054,Tripura,01-01-1996,Loser,-342780
L,Loksabha,Tripura West,Bhuban Vijoy Majumder, Male,Unknown,Unknown,AMB, Amra Bangalee,Unknown,2618,0.0038,Tripura,01-01-1996,Loser,-343839
L,Loksabha,Tripura West,Sukumar Saha, Male,Unknown,Unknown,IND, Independent,Unknown,1153,0.0017,Tripura,01-01-1996,Loser,-345304
L,Loksabha,Tripura West,Brajalal Debnath, Male,Unknown,Unknown,IND, Independent,Unknown,1110,0.0016,Tripura,01-01-1996,Loser,-345347
L,Loksabha,Tripura West,Swapan Acharjee, Male,Unknown,Unknown,IND, Independent,Unknown,585,0.0009,Tripura,01-01-1996,Loser,-345872
L,Loksabha,Tripura West,Anukul Chandra Saha (sadhubhai), Male,Unknown,Unknown,IND, Independent,Unknown,503,0.0007,Tripura,01-01-1996,Loser,-345954
L,Loksabha,Tripura West,Santosh Mohan Deo, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,464743,0.834699988,Tripura,01-01-1991,Winner,428984
L,Loksabha,Tripura West,Manik Sarkar, Male,Unknown,Unknown,CPM, Communist Party Of India (marxist),Unknown,35759,0.064199999,Tripura,01-01-1991,Loser,-428984
L,Loksabha,Tripura West,Bhupen Datta Bhaumik, Male,Unknown,Unknown,IND, Independent,Unknown,19833,0.035599999,Tripura,01-01-1991,Loser,-444910
L,Loksabha,Tripura West,Brojesh Chakraborty, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,15662,0.028100001,Tripura,01-01-1991,Loser,-449081
L,Loksabha,Tripura West,Rakhal Raj Dutta, Male,Unknown,Unknown,AMB, Amra Bangalee,Unknown,7998,0.0144,Tripura,01-01-1991,Loser,-456745
L,Loksabha,Tripura West,Nikhil Debnath, Male,Unknown,Unknown,IND, Independent,Unknown,3523,0.0063,Tripura,01-01-1991,Loser,-461220
L,Loksabha,Tripura West,Biswas Mohan Debbarma, Male,Unknown,Unknown,IND, Independent,Unknown,2974,0.0053,Tripura,01-01-1991,Loser,-461769
